# M2[GeV] M1[GeV] xsec[fb] uncertainty[fb]
 740  205     9.1617     0.0036
 740  230     9.1616     0.0036
 740  255     9.1615     0.0036
 740  280     9.1615     0.0036
 740  305     9.1614     0.0036
 740  330     9.1614     0.0036
 740  355     9.1614     0.0036
 740  380     9.1613     0.0036
 740  405     9.1613     0.0036
 740  430     9.1613     0.0036
 740  455     9.1612     0.0036
 740  480     9.1613     0.0036
 740  505     9.1613     0.0036
 740  530     9.1613     0.0036
 740  555     9.1614     0.0036
 740  580     9.1616     0.0036
 740  605     9.1618     0.0036
 740  630     9.1623     0.0036
 740  655     9.1632     0.0036
 740  680     9.1656     0.0036
 740  705     9.1650     0.0036
 740  730     9.1659     0.0035
 765    5     7.6420     0.0030
 765   30     7.6421     0.0030
 765   55     7.6420     0.0030
 765   80     7.6419     0.0030
 765  105     7.6418     0.0030
 765  130     7.6418     0.0030
 765  155     7.6417     0.0030
 765  180     7.6416     0.0030
 765  205     7.6416     0.0030
 765  230     7.6415     0.0030
 765  255     7.6414     0.0030
 765  280     7.6414     0.0030
 765  305     7.6413     0.0030
 765  330     7.6413     0.0030
 765  355     7.6413     0.0030
 765  380     7.6412     0.0030
 765  405     7.6412     0.0030
 765  430     7.6411     0.0030
 765  455     7.6411     0.0030
 765  480     7.6411     0.0030
 765  505     7.6411     0.0030
 765  530     7.6412     0.0030
 765  555     7.6412     0.0030
 765  580     7.6413     0.0030
 765  605     7.6414     0.0030
 765  630     7.6416     0.0030
 765  655     7.6420     0.0030
 765  680     7.6329     0.0030
 765  705     7.6350     0.0030
 765  730     7.6433     0.0030
 765  755     7.6423     0.0029
 790    5     6.3919     0.0025
 790   30     6.3920     0.0025
 790   55     6.3919     0.0025
 790   80     6.3918     0.0025
 790  105     6.3917     0.0025
 790  130     6.3917     0.0025
 790  155     6.3916     0.0025
 790  180     6.3915     0.0025
 790  205     6.3915     0.0025
 790  230     6.3914     0.0025
 790  255     6.3914     0.0025
 790  280     6.3913     0.0025
 790  305     6.3913     0.0025
 790  330     6.3912     0.0025
 790  355     6.3912     0.0025
 790  380     6.3911     0.0025
 790  405     6.3911     0.0025
 790  430     6.3911     0.0025
 790  455     6.3910     0.0025
 790  480     6.3910     0.0025
 790  505     6.3910     0.0025
 790  530     6.3910     0.0025
 790  555     6.3910     0.0025
 790  580     6.3911     0.0025
 790  605     6.3911     0.0025
 790  630     6.3913     0.0025
 790  655     6.3915     0.0025
 790  680     6.3918     0.0025
 790  705     6.3925     0.0025
 790  730     6.3944     0.0025
 790  755     6.3918     0.0025
 790  780     6.3928     0.0024
 815    5     5.3668     0.0021
 815   30     5.3669     0.0021
 815   55     5.3668     0.0021
 815   80     5.3667     0.0021
 815  105     5.3666     0.0021
 815  130     5.3666     0.0021
 815  155     5.3665     0.0021
 815  180     5.3665     0.0021
 815  205     5.3664     0.0021
 815  230     5.3663     0.0021
 815  255     5.3663     0.0021
 815  280     5.3662     0.0021
 815  305     5.3662     0.0021
 815  330     5.3661     0.0021
 815  355     5.3661     0.0021
 815  380     5.3660     0.0021
 815  405     5.3660     0.0021
 815  430     5.3660     0.0021
 815  455     5.3659     0.0021
 815  480     5.3659     0.0021
 815  505     5.3659     0.0021
 815  530     5.3659     0.0021
 815  555     5.3659     0.0021
 815  580     5.3659     0.0021
 815  605     5.3660     0.0021
 815  630     5.3660     0.0021
 815  655     5.3661     0.0021
 815  680     5.3663     0.0021
 815  705     5.3666     0.0021
 815  730     5.3673     0.0021
 815  755     5.3579     0.0021
 815  780     5.3635     0.0021
 815  805     5.3630     0.0020
 840    5     4.5127     0.0018
 840   30     4.5128     0.0018
 840   55     4.5127     0.0018
 840   80     4.5126     0.0018
 840  105     4.5126     0.0018
 840  130     4.5125     0.0018
 840  155     4.5124     0.0018
 840  180     4.5124     0.0018
 840  205     4.5123     0.0018
 840  230     4.5123     0.0018
 840  255     4.5122     0.0018
 840  280     4.5122     0.0018
 840  305     4.5121     0.0018
 840  330     4.5121     0.0018
 840  355     4.5120     0.0018
 840  380     4.5120     0.0018
